Business Process Description,GRC Business Process ID,Sub Process Description,GRC Sub Process ID,Business Role,Intended Use,Long Description,Character count,BR Key Word Search
Order to Cash,SD00,Operations,MD00,CLX_O2C OPERATIONS DISPLAY,"PSO: Ensure Supply: O2C: Operations display view to common transactions related to AR, AP, GL, Idocs, tables, inventory, materials, production planning, procurement, and sales.","Order to Cash-Operations-CLX_O2C OPERATIONS DISPLAY-PSO: Ensure Supply: O2C: Operations display view to common transactions related to AR, AP, GL, Idocs, tables, inventory, materials, production planning, procurement, and sales.",228,O2C OPERATIONS DISPLAY
Order to Cash,SD00,Order Processing,ORDP,CLX_O2C ORDER PROCESSING,"PSO: Ensure Supply: O2C: Order Mgmt Specialist transactions related to Sales common display and order maintenance, shipping common display, outbound delivery and shipping maintenance, Warehouse mgmt common display, PM common display, Material Mgmt. common display, Inventory common display, tables, and production planning common display.","Order to Cash-Order Processing-CLX_O2C ORDER PROCESSING-PSO: Ensure Supply: O2C: Order Mgmt Specialist transactions related to Sales common display and order maintenance, shipping common display, outbound delivery and shipping maintenance, Warehouse mgmt common display, PM common display, Material Mgmt. common display, Inventory common display, tables, and production planning common display.",394,O2C ORDER PROCESSING
Order to Cash,SD00,Order Processing,ORDP,CLX_O2C ORDER PROCESSING EXPORT,"PSO: Ensure Supply: O2C: Order Mgmt Specialist EXPORT- transactions related to Sales common display and order maintenance, outbound delivery and shipping maintenance including Export,  PM common display, Material Mgmt. common display, production planning common display, and AR common display.","Order to Cash-Order Processing-CLX_O2C ORDER PROCESSING EXPORT-PSO: Ensure Supply: O2C: Order Mgmt Specialist EXPORT- transactions related to Sales common display and order maintenance, outbound delivery and shipping maintenance including Export,  PM common display, Material Mgmt. common display, production planning common display, and AR common display.",356,O2C ORDER PROCESSING EXPORT
Order to Cash,SD00,Order Processing,ORDP,CLX_O2C ORDER PROCESSING SU,"PSO: Ensure Supply: O2C: Order Mgmt Specialist Super User-transactions related to Sales common display and order maintenance including some restricted transactions for shipping maint, outbound delivery and shipping maintenance, Warehouse mgmt common display, PM common display, Material Mgmt. common display, Inventory common display, tables, and production planning common display, purchasing common display, and AR common display.","Order to Cash-Order Processing-CLX_O2C ORDER PROCESSING SU-PSO: Ensure Supply: O2C: Order Mgmt Specialist Super User-transactions related to Sales common display and order maintenance including some restricted transactions for shipping maint, outbound delivery and shipping maintenance, Warehouse mgmt common display, PM common display, Material Mgmt. common display, Inventory common display, tables, and production planning common display, purchasing common display, and AR common display.",491,O2C ORDER PROCESSING SU
Order to Cash,SD00,Order Processing,ORDP,CLX_O2C REPORTING & TABLE UPDATES SU,"PSO: Ensure Supply: O2C: Reporting and Table Update Super User-transactions related to Sales common display and order maintenance including some restricted transactions for shipping maint, outbound delivery and shipping maintenance, Warehouse mgmt common display, PM common display, Material Mgmt. common display, Inventory common display, customer specific tables, and production planning common display, purchasing common display, org structure maint and AR common display, customer material record maint., and order sourcing maint.","Order to Cash-Order Processing-CLX_O2C REPORTING & TABLE UPDATES SU-PSO: Ensure Supply: O2C: Reporting and Table Update Super User-transactions related to Sales common display and order maintenance including some restricted transactions for shipping maint, outbound delivery and shipping maintenance, Warehouse mgmt common display, PM common display, Material Mgmt. common display, Inventory common display, customer specific tables, and production planning common display, purchasing common display, org structure maint and AR common display, customer material record maint., and order sourcing maint.",602,O2C REPORTING & TABLE UPDATES SU
Order to Cash,SD00,Order Processing,ORDP,CLX_ORD PROC TEAM LEAD LOG OPS SU,"PSO: Ensure Supply: O2C: Order Mgmt Specialist Team Lead and Logistics Super User-transactions related to Sales common display and order maintenance including some restricted transactions for shipping maint, outbound delivery and shipping maintenance, Warehouse mgmt common display, PM common display, Material Mgmt. common display, Inventory common display, customer specific tables, and production planning common display, purchasing common display, org structure maint and AR common display.","Order to Cash-Order Processing-CLX_ORD PROC TEAM LEAD LOG OPS SU-PSO: Ensure Supply: O2C: Order Mgmt Specialist Team Lead and Logistics Super User-transactions related to Sales common display and order maintenance including some restricted transactions for shipping maint, outbound delivery and shipping maintenance, Warehouse mgmt common display, PM common display, Material Mgmt. common display, Inventory common display, customer specific tables, and production planning common display, purchasing common display, org structure maint and AR common display.",559,ORD PROC TEAM LEAD LOG OPS SU
Order to Cash,SD00,Order Processing,ORDP,CLX_PLANT DOCK COORDINATOR,"PSO: Ensure Supply: Local Plant Dock Coordinator with view and edit of transactions in material goods receipts, transfer postings, Purchase order maintenance, Sales Order maintenance, Transfer Order maintenance, Shipping Maintenance and Outbound delivery maintenance","Order to Cash-Order Processing-CLX_PLANT DOCK COORDINATOR-PSO: Ensure Supply: Local Plant Dock Coordinator with view and edit of transactions in material goods receipts, transfer postings, Purchase order maintenance, Sales Order maintenance, Transfer Order maintenance, Shipping Maintenance and Outbound delivery maintenance",324,PLANT DOCK COORDINATOR
Manage Information Technology,BS00,BASIS,IT00,CLX_FICO SUPPORT,Pending,Manage Information Technology-BASIS-CLX_FICO SUPPORT-Pending,60,FICO SUPPORT
Manage Information Technology,BS00,BASIS,IT00,CLX_IT BUSINESS ANALYST,Pending,Manage Information Technology-BASIS-CLX_IT BUSINESS ANALYST-Pending,67,IT BUSINESS ANALYST
Manage Information Technology,BS00,BASIS,IT00,CLX_IT FINANCE ANALYST,Pending,Manage Information Technology-BASIS-CLX_IT FINANCE ANALYST-Pending,66,IT FINANCE ANALYST
Manage Information Technology,BS00,IT Support,IT00,CLX_O2C SUPPORT,Pending,Manage Information Technology-IT Support-CLX_O2C SUPPORT-Pending,64,O2C SUPPORT
Manage Information Technology,BS00,IT Support,IT00,CLX_S2P SUPPORT,Pending,Manage Information Technology-IT Support-CLX_S2P SUPPORT-Pending,64,S2P SUPPORT
Manage Information Technology,BS00,IT Support,IT00,CLX_SALES SUPPORT,Pending,Manage Information Technology-IT Support-CLX_SALES SUPPORT-Pending,66,SALES SUPPORT
Manage Information Technology,BS00,BASIS,IT00,CLX_SAP ABAP ADMINISTRATOR,Pending,Manage Information Technology-BASIS-CLX_SAP ABAP ADMINISTRATOR-Pending,70,SAP ABAP ADMINISTRATOR
Manage Information Technology,BS00,BASIS,IT00,CLX_SAP BI ADMINISTRATOR,Pending,Manage Information Technology-BASIS-CLX_SAP BI ADMINISTRATOR-Pending,68,SAP BI ADMINISTRATOR
Manage Information Technology,BS00,SAP Security,IT00,CLX_SAP SECURITY ADMINISTRATOR,Pending,Manage Information Technology-SAP Security-CLX_SAP SECURITY ADMINISTRATOR-Pending,81,SAP SECURITY ADMINISTRATOR
Manage Information Technology,BS00,SAP Security,IT00,CLX_SAP SYSTEM ADMINISTRATOR,Pending,Manage Information Technology-SAP Security-CLX_SAP SYSTEM ADMINISTRATOR-Pending,79,SAP SYSTEM ADMINISTRATOR
Manage Information Technology,BS00,IT Support,IT00,CLX_SCHEDULING SERVICES ADMIN,Pending,Manage Information Technology-IT Support-CLX_SCHEDULING SERVICES ADMIN-Pending,78,SCHEDULING SERVICES ADMIN
Manage Information Technology,BS00,IT Support,IT00,CLX_SERVICE DESK,Pending,Manage Information Technology-IT Support-CLX_SERVICE DESK-Pending,65,SERVICE DESK
Manage Information Technology,BS00,IT Support,IT00,CLX_SOLUTION DESIGNER,Pending,Manage Information Technology-IT Support-CLX_SOLUTION DESIGNER-Pending,70,SOLUTION DESIGNER
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P FREIGHT ANALYST,Pending,Procure to Pay-Procure to Pay-CLX_P2P FREIGHT ANALYST-Pending,61,P2P FREIGHT ANALYST
Procure to Pay,PR00,Procure to Pay,PR01,CLX_P2P OPERATIONS MANAGER,Pending,Procure to Pay-Procure to Pay-CLX_P2P OPERATIONS MANAGER-Pending,64,P2P OPERATIONS MANAGER
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P PAYABLES CORPORATE SUPPORT,Pending,Procure to Pay-Procure to Pay-CLX_P2P PAYABLES CORPORATE SUPPORT-Pending,72,P2P PAYABLES CORPORATE SUPPORT
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P PAYABLES CORPORATE SUPPORT MANAGER,Pending,Procure to Pay-Procure to Pay-CLX_P2P PAYABLES CORPORATE SUPPORT MANAGER-Pending,80,P2P PAYABLES CORPORATE SUPPORT MANAGER
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P PROCESSING ANALYST,Pending,Procure to Pay-Procure to Pay-CLX_P2P PROCESSING ANALYST-Pending,64,P2P PROCESSING ANALYST
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P PROCSPEC SPECIALIST,Pending,Procure to Pay-Procure to Pay-CLX_P2P PROCSPEC SPECIALIST-Pending,65,P2P PROCSPEC SPECIALIST
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P PROCUREMENT CORPORATE SUPPORT MANAGER,Pending,Procure to Pay-Procure to Pay-CLX_P2P PROCUREMENT CORPORATE SUPPORT MANAGER-Pending,83,P2P PROCUREMENT CORPORATE SUPPORT MANAGER
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P PROCUREMENT OPS ANALYST,Pending,Procure to Pay-Procure to Pay-CLX_P2P PROCUREMENT OPS ANALYST-Pending,69,P2P PROCUREMENT OPS ANALYST
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P PROCUREMENT SUPERVISOR,Pending,Procure to Pay-Procure to Pay-CLX_P2P PROCUREMENT SUPERVISOR-Pending,68,P2P PROCUREMENT SUPERVISOR
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P REPORTING ANALYST,Pending,Procure to Pay-Procure to Pay-CLX_P2P REPORTING ANALYST-Pending,63,P2P REPORTING ANALYST
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P SPECIALIZED PROCESSING,Pending,Procure to Pay-Procure to Pay-CLX_P2P SPECIALIZED PROCESSING-Pending,68,P2P SPECIALIZED PROCESSING
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P VM SPECIALIST,Pending,Procure to Pay-Procure to Pay-CLX_P2P VM SPECIALIST-Pending,59,P2P VM SPECIALIST
Plan & Manage Business,FI00,Planning,PLAN,CLX_DEPLOYER,"PSO: Ensure Supply: F2S Corporate Deployment of FG's coordination with view and edit of common display transactions, view data tables, outbound deliveries and sales maintenance.","Plan & Manage Business-Planning-CLX_DEPLOYER-PSO: Ensure Supply: F2S Corporate Deployment of FG's coordination with view and edit of common display transactions, view data tables, outbound deliveries and sales maintenance.",222,DEPLOYER
Plan & Manage Business,FI00,Planning,PLAN,CLX_F2S NETWORK PLANNING DISPLAY,PSO: Ensure Supply: F2S CLX Network Supply Planner display only functionality.,Plan & Manage Business-Planning-CLX_F2S NETWORK PLANNING DISPLAY-PSO: Ensure Supply: F2S CLX Network Supply Planner display only functionality.,143,F2S NETWORK PLANNING DISPLAY
Plan & Manage Business,FI00,Planning,PLAN,CLX_F2S NETWORK PLANNING SUPPLY,"PSO: Ensure Supply: F2S Corp. CLX Network Supply Planner with the ability to view all common display transactions and reports for inventory, material management, goods movements, goods receipt processing, local plant MD maintenance, capacity planning, planned order conversion and maintenance, routing maintenance, PO requisitioning and maintenance, VMI deployment, shipment and outbound delivery maintenance.","Plan & Manage Business-Planning-CLX_F2S NETWORK PLANNING SUPPLY-PSO: Ensure Supply: F2S Corp. CLX Network Supply Planner with the ability to view all common display transactions and reports for inventory, material management, goods movements, goods receipt processing, local plant MD maintenance, capacity planning, planned order conversion and maintenance, routing maintenance, PO requisitioning and maintenance, VMI deployment, shipment and outbound delivery maintenance.",473,F2S NETWORK PLANNING SUPPLY
Plan & Manage Business,FI00,Planning,PLAN,CLX_F2S PDP,"PSO: Ensure Supply: F2S corporate data planners with access to view and edit common material and MD Tcodes, manage PO's, VMI deployment, inventory of R,P, WIP and FG's.","Plan & Manage Business-Planning-CLX_F2S PDP-PSO: Ensure Supply: F2S corporate data planners with access to view and edit common material and MD Tcodes, manage PO's, VMI deployment, inventory of R,P, WIP and FG's.",212,F2S PDP
Plan & Manage Business,FI00,Planning,PLAN,CLX_F2S PLANNING COE,"PSO: Ensure Supply: F2S- Corporate support for viewing and editing common display transactions related to materials, production planning, procurement, quality, VMI, AP and MD.","Plan & Manage Business-Planning-CLX_F2S PLANNING COE-PSO: Ensure Supply: F2S- Corporate support for viewing and editing common display transactions related to materials, production planning, procurement, quality, VMI, AP and MD.",228,F2S PLANNING COE
Order to Cash,SD00,Plant Shipping,SHIP,CLX_PLANT SHIPPING,"PSO: Ensure Supply: Plant Material Handler with view and edit access to transaction sofr Materials, PM, Purchasing, WM, Inventory, Sales, Goods issue, movements and receipt processing, transfer postings, capacity planning, planned orders, Shipping Maintenance and Sales AOP loading.","Order to Cash-Plant Shipping-CLX_PLANT SHIPPING-PSO: Ensure Supply: Plant Material Handler with view and edit access to transaction sofr Materials, PM, Purchasing, WM, Inventory, Sales, Goods issue, movements and receipt processing, transfer postings, capacity planning, planned orders, Shipping Maintenance and Sales AOP loading.",330,PLANT SHIPPING
Plan and Manage Business,FI00,PPD,PPD0,CLX_PPD ANALYST,"Create/Copy Planning for PPD Cost Centers, create and post journal entries and display SAP report","Plan and Manage Business-PPD-CLX_PPD ANALYST-Create/Copy Planning for PPD Cost Centers, create and post journal entries and display SAP report",142,PPD ANALYST
Plan and Manage Business,FI00,PPD,PPD0,CLX_PPD FINANCE MANAGER,"Create/Copy Planning for PPD Cost Centers, create and post journal entries and display SAP report","Plan and Manage Business-PPD-CLX_PPD FINANCE MANAGER-Create/Copy Planning for PPD Cost Centers, create and post journal entries and display SAP report",150,PPD FINANCE MANAGER
Plan & Manage Business,FI00,PPD,PPD0,CLX_PPD_DISPLAY ROLE,Pending,Plan & Manage Business-PPD-CLX_PPD_DISPLAY ROLE-Pending,55,PPD
Plan & Manage Business,FI00,PPD,PPD0,CLX_PPD_WRITE ROLE,Pending,Plan & Manage Business-PPD-CLX_PPD_WRITE ROLE-Pending,53,PPD
Procure to Pay,PR00,Procure to Pay,PR00,CLX_P2P CO-PACK PROCESSING SPECIALIST,Pending,Procure to Pay-Procure to Pay-CLX_P2P CO-PACK PROCESSING SPECIALIST-Pending,75,P2P CO-PACK PROCESSING SPECIALIST
Plan & Manage Business,FI00,R&D,R&D0,CLX_R&D MILL TAX,Pending,Plan & Manage Business-R&D-CLX_R&D MILL TAX-Pending,51,R&D MILL TAX
Plan & Manage Business,FI00,R&D,R&D0,CLX_R&D SCIENTIST DISPLAY,Pending,Plan & Manage Business-R&D-CLX_R&D SCIENTIST DISPLAY-Pending,60,R&D SCIENTIST DISPLAY
Plan & Manage Business,FI00,Sales,SALE,CLX_ACOSTA DEDUCTION SPECIALIST,Pending,Plan & Manage Business-Sales-CLX_ACOSTA DEDUCTION SPECIALIST-Pending,68,ACOSTA DEDUCTION SPECIALIST
Plan & Manage Business,FI00,Sales,SALE,CLX_FIELD SALES-ANALYST COORDINATOR,Pending,Plan & Manage Business-Sales-CLX_FIELD SALES-ANALYST COORDINATOR-Pending,72,FIELD SALES-ANALYST COORDINATOR
Plan & Manage Business,FI00,Sales,SALE,CLX_FIELD SALES-MANAGER,Pending,Plan & Manage Business-Sales-CLX_FIELD SALES-MANAGER-Pending,60,FIELD SALES-MANAGER
Plan & Manage Business,FI00,Sales,SALE,CLX_SALES DISPLAYER,Pending,Plan & Manage Business-Sales-CLX_SALES DISPLAYER-Pending,56,SALES DISPLAYER
Plan & Manage Business,FI00,Sales,SALE,CLX_SALES PLANNING-ANALYST COORD,Pending,Plan & Manage Business-Sales-CLX_SALES PLANNING-ANALYST COORD-Pending,69,SALES PLANNING-ANALYST COORD
Plan & Manage Business,FI00,Sales,SALE,CLX_SALES TECH OPS-ANALYST,Pending,Plan & Manage Business-Sales-CLX_SALES TECH OPS-ANALYST-Pending,63,SALES TECH OPS-ANALYST
Plan & Manage Business,FI00,Sales,SALE,CLX_TELMARK ORDER MGMT SPECIALIST,Pending,Plan & Manage Business-Sales-CLX_TELMARK ORDER MGMT SPECIALIST-Pending,70,TELMARK ORDER MGMT SPECIALIST
Plan & Manage Business,FI00,Sales,SALE,CLX_TRADE OPS - ANALYSTS,Pending,Plan & Manage Business-Sales-CLX_TRADE OPS - ANALYSTS-Pending,61,TRADE OPS - ANALYSTS
Plan & Manage Business,FI00,Sales,SALE,CLX_UNSALEABLES OPS-ANALYST,Pending,Plan & Manage Business-Sales-CLX_UNSALEABLES OPS-ANALYST-Pending,64,UNSALEABLES OPS-ANALYST
Plan & Manage Business,FI00,Sales,SALE,CLX_WBS ORDER MANAGEMENT SPECIALIST,Pending,Plan & Manage Business-Sales-CLX_WBS ORDER MANAGEMENT SPECIALIST-Pending,72,WBS ORDER MANAGEMENT SPECIALIST
Plan & Manage Business,FI00,Sales,SALE,CLX_WBS ORDER TRADE MGMT SPECIALIST,Pending,Plan & Manage Business-Sales-CLX_WBS ORDER TRADE MGMT SPECIALIST-Pending,72,WBS ORDER TRADE MGMT SPECIALIST
Plan and Manage Business,FI00,Sales Finance,SAFI,CLX_SALES FINANCE ANALYST,Display various sales finance SAP reports ,Plan and Manage Business-Sales Finance-CLX_SALES FINANCE ANALYST-Display various sales finance SAP reports ,107,SALES FINANCE ANALYST
Plan and Manage Business,FI00,Tax,TAX0,CLX_LER TAX ANALYST,"Handle LER Tax GL accounts including create, change, post journal entries, execute month end jobs and run GL analysis reports","Plan and Manage Business-Tax-CLX_LER TAX ANALYST-Handle LER Tax GL accounts including create, change, post journal entries, execute month end jobs and run GL analysis reports",174,LER TAX ANALYST
Plan and Manage Business,FI00,Tax,TAX0,CLX_LER TAX MANAGER,"Manage LER Tax GL accounts including maintain cost center, execute data query and display SAP reports","Plan and Manage Business-Tax-CLX_LER TAX MANAGER-Manage LER Tax GL accounts including maintain cost center, execute data query and display SAP reports",150,LER TAX MANAGER
Plan and Manage Business,FI00,Tax,TAX0,CLX_TAX ADMINISTRATOR,Have access to tax and finance display SAP reports,Plan and Manage Business-Tax-CLX_TAX ADMINISTRATOR-Have access to tax and finance display SAP reports,101,TAX ADMINISTRATOR
Plan and Manage Business,FI00,Tax,TAX0,CLX_TAX ANALYST,"Handle Corp Tax GL accounts including create, change, post journal entries, and display SAP reports","Plan and Manage Business-Tax-CLX_TAX ANALYST-Handle Corp Tax GL accounts including create, change, post journal entries, and display SAP reports",144,TAX ANALYST
Plan and Manage Business,FI00,Tax,TAX0,CLX_TAX MANAGER,"Manage Corp Tax GL accounts including maintain cost center master data, post journal entries,  execute data query and display SAP reports","Plan and Manage Business-Tax-CLX_TAX MANAGER-Manage Corp Tax GL accounts including maintain cost center master data, post journal entries,  execute data query and display SAP reports",182,TAX MANAGER
Order to Cash,SD00,Transportation,TRAN,CLX_O2C TRANS SERVICES GROUP,"PSO: Ensure Supply: O2C: Transportation Services Group Specialist-transactions related to Sales common display and order maintenance, shipping maint, outbound delivery and shipping maintenance, fucntional support, Warehouse mgmt common display, PM common display, Material Mgmt. common display, Inventory common display, production planning common display, purchasing common display, VMI deployment display, AR common display, pricing condition maint, and BSM support.","Order to Cash-Transportation-CLX_O2C TRANS SERVICES GROUP-PSO: Ensure Supply: O2C: Transportation Services Group Specialist-transactions related to Sales common display and order maintenance, shipping maint, outbound delivery and shipping maintenance, fucntional support, Warehouse mgmt common display, PM common display, Material Mgmt. common display, Inventory common display, production planning common display, purchasing common display, VMI deployment display, AR common display, pricing condition maint, and BSM support.",526,O2C TRANS SERVICES GROUP
Plan and Manage Business,FI00,Treasury,TREA,CLX_TREASURY MANAGER,Manage Treasury GL accounts including maintain FOREX master data and display SAP reports,Plan and Manage Business-Treasury-CLX_TREASURY MANAGER-Manage Treasury GL accounts including maintain FOREX master data and display SAP reports,143,TREASURY MANAGER
